State,Scenario,Plantation_Size_ha,FFB_Yield_tonnes_per_ha,CPO_Yield_tonnes_per_ha,CPO_Price_NGN_per_tonne,Revenue_per_ha_NGN,OPEX_per_ha_NGN,CAPEX_per_ha_NGN,Gross_Profit_per_ha_NGN,Net_Profit_per_ha_NGN,Profit_Margin_%,Total_Investment_NGN,Total_Investment_Billions,Annual_Target_Profit_NGN,Total_15yr_Profit_NGN,NPV_NGN,NPV_Billions,IRR_%,ROI_%,Payback_Years,Break_even_ha,Rainfall_mm,Suitability_Score,Land_Cost_per_ha_NGN,Land_Cost_NGN,Plantation_CAPEX_NGN,Mill_CAPEX_NGN,Profit_Rank
Akwa Ibom,Base,287,18,3.78,1500000,5670000,700000,826000,4970000,3479000,61.4,813772061,0.81,1000000000,10200000000,3298100005,3.3,18.4,1.1534,4,287,2500,9.5,450000,129347514,237424547,447000000,2
Akwa Ibom,Conservative,639,12.1,2.53,1200000,3039120,805000,826000,2234120,1563884,51.5,1262917293,1.26,1000000000,10200000000,2848954773,2.85,14.9,0.7077,4.5,639,2500,9.5,450000,287745127,528172166,447000000,2
Akwa Ibom,Optimistic,157,23,4.84,2000000,9676800,595000,826000,9081800,6357260,65.7,647715403,0.65,1000000000,10200000000,3464156664,3.46,20.2,1.4748,3.8,157,2500,9.5,450000,70785212,129930190,447000000,2
Cross River,Base,287,18,3.78,1500000,5670000,700000,826000,4970000,3479000,61.4,770656223,0.77,1000000000,10200000000,3341215843,3.34,18.8,1.2235,3.9,287,2400,9.5,300000,86231676,237424547,447000000,2
Cross River,Conservative,639,12.1,2.53,1200000,3039120,805000,826000,2234120,1563884,51.5,1167002251,1.17,1000000000,10200000000,2944869816,2.94,15.5,0.774,4.4,639,2400,9.5,300000,191830085,528172166,447000000,2
Cross River,Optimistic,157,23,4.84,2000000,9676800,595000,826000,9081800,6357260,65.7,624120332,0.62,1000000000,10200000000,3487751735,3.49,20.5,1.5343,3.7,157,2400,9.5,300000,47190142,129930190,447000000,2
Delta,Base,355,15,3.15,1500000,4725000,700000,826000,4025000,2817500,59.6,935376220,0.94,1000000000,10200000000,3176495846,3.18,17.3,0.9905,4.1,355,2300,8,550000,195208518,293167702,447000000,6
Delta,Conservative,827,10.1,2.11,1200000,2532600,805000,826000,1727600,1209320,47.8,1584829524,1.58,1000000000,10200000000,2527042542,2.53,13.2,0.5436,4.9,827,2300,8,550000,454801045,683028479,447000000,6
Delta,Optimistic,191,19.2,4.03,2000000,8064000,595000,826000,7469000,5228300,64.8,710183061,0.71,1000000000,10200000000,3401689005,3.4,19.4,1.3362,3.8,191,2300,8,550000,105196718,157986344,447000000,6
Edo,Base,270,19,3.99,1500000,5985000,700000,826000,5285000,3699500,61.8,832457494,0.83,1000000000,10200000000,3279414572,3.28,18.2,1.1253,4,270,2000,9,600000,162184079,223273415,447000000,1
Edo,Conservative,595,12.7,2.67,1200000,3207960,805000,826000,2402960,1682072,52.4,1294763948,1.29,1000000000,10200000000,2817108118,2.82,14.8,0.6878,4.5,595,2000,9,600000,356702924,491061025,447000000,1
Edo,Optimistic,149,24.3,5.11,2000000,10214400,595000,826000,9619400,6733580,65.9,658774420,0.66,1000000000,10200000000,3453097646,3.45,20,1.4483,3.8,149,2000,9,600000,89105647,122668774,447000000,1
Imo,Base,355,15,3.15,1500000,4725000,700000,826000,4025000,2817500,59.6,953122449,0.95,1000000000,10200000000,3158749617,3.16,17.1,0.9702,4.1,355,2000,7.5,600000,212954747,293167702,447000000,6
Imo,Conservative,827,10.1,2.11,1200000,2532600,805000,826000,1727600,1209320,47.8,1626175074,1.63,1000000000,10200000000,2485696993,2.49,13,0.5272,4.9,827,2000,7.5,600000,496146595,683028479,447000000,6
Imo,Optimistic,191,19.2,4.03,2000000,8064000,595000,826000,7469000,5228300,64.8,719746399,0.72,1000000000,10200000000,3392125667,3.39,19.3,1.3172,3.8,191,2000,7.5,600000,114760056,157986344,447000000,6
Ondo,Base,329,16,3.36,1500000,5040000,700000,826000,4340000,3038000,60.3,899929559,0.9,1000000000,10200000000,3211942507,3.21,17.6,1.0334,4.1,329,2200,8.5,550000,181040158,271889401,447000000,4
Ondo,Conservative,753,10.7,2.25,1200000,2701440,805000,826000,1896440,1327508,49.1,1483528593,1.48,1000000000,10200000000,2628343473,2.63,13.7,0.5875,4.7,753,2200,8.5,550000,414310121,622218473,447000000,4
Ondo,Optimistic,178,20.5,4.3,2000000,8601600,595000,826000,8006600,5604620,65.2,692511739,0.69,1000000000,10200000000,3419360328,3.42,19.6,1.3729,3.8,178,2200,8.5,550000,98133326,147378413,447000000,4
Rivers,Base,355,15,3.15,1500000,4725000,700000,826000,4025000,2817500,59.6,899883762,0.9,1000000000,10200000000,3211988304,3.21,17.6,1.0335,4.1,355,2500,8.5,450000,159716060,293167702,447000000,6
Rivers,Conservative,827,10.1,2.11,1200000,2532600,805000,826000,1727600,1209320,47.8,1502138425,1.5,1000000000,10200000000,2609733642,2.61,13.6,0.579,4.8,827,2500,8.5,450000,372109946,683028479,447000000,6
Rivers,Optimistic,191,19.2,4.03,2000000,8064000,595000,826000,7469000,5228300,64.8,691056385,0.69,1000000000,10200000000,3420815681,3.42,19.7,1.376,3.8,191,2500,8.5,450000,86070042,157986344,447000000,6
